,Date,DailyOrHourly,VehicleType,Hour,Volume,DelayPersonHours,DelayCost,DelayVehicleHours,VMT
0,2022-07-01,daily,commercial,,33057.467815,0.0,0.0,0.0,25350.054483
1,2022-07-01,daily,passenger,,297517.210338,0.0,0.0,0.0,228150.490344
2,2022-07-01,hourly,commercial,0.0,322.6,0.0,0.0,0.0,246.539983
3,2022-07-01,hourly,passenger,0.0,2903.4,0.0,0.0,0.0,2218.859846
4,2022-07-01,hourly,commercial,1.0,272.8,0.0,0.0,0.0,208.656014
5,2022-07-01,hourly,passenger,1.0,2455.2,0.0,0.0,0.0,1877.904127
6,2022-07-01,hourly,commercial,2.0,264.3,0.0,0.0,0.0,202.204469
7,2022-07-01,hourly,passenger,2.0,2378.7,0.0,0.0,0.0,1819.840225
8,2022-07-01,hourly,commercial,3.0,314.4,0.0,0.0,0.0,239.090376
9,2022-07-01,hourly,passenger,3.0,2829.6,0.0,0.0,0.0,2151.813385
10,2022-07-01,hourly,commercial,4.0,518.9,0.0,0.0,0.0,391.55265
11,2022-07-01,hourly,passenger,4.0,4670.1,0.0,0.0,0.0,3523.973846
12,2022-07-01,hourly,commercial,5.0,960.9,0.0,0.0,0.0,728.155173
13,2022-07-01,hourly,passenger,5.0,8648.1,0.0,0.0,0.0,6553.396558
14,2022-07-01,hourly,commercial,6.0,1616.7,0.0,0.0,0.0,1242.40743
15,2022-07-01,hourly,passenger,6.0,14550.3,0.0,0.0,0.0,11181.666866
16,2022-07-01,hourly,commercial,7.0,1892.019773,0.0,0.0,0.0,1459.019974
17,2022-07-01,hourly,passenger,7.0,17028.177955,0.0,0.0,0.0,13131.179769
18,2022-07-01,hourly,commercial,8.0,1775.001017,0.0,0.0,0.0,1366.851788
19,2022-07-01,hourly,passenger,8.0,15975.009155,0.0,0.0,0.0,12301.666089
20,2022-07-01,hourly,commercial,9.0,1710.124467,0.0,0.0,0.0,1316.078555
21,2022-07-01,hourly,passenger,9.0,15391.120204,0.0,0.0,0.0,11844.706993
22,2022-07-01,hourly,commercial,10.0,1761.276672,0.0,0.0,0.0,1353.428502
23,2022-07-01,hourly,passenger,10.0,15851.490044,0.0,0.0,0.0,12180.856522
24,2022-07-01,hourly,commercial,11.0,1883.651628,0.0,0.0,0.0,1446.986454
25,2022-07-01,hourly,passenger,11.0,16952.864653,0.0,0.0,0.0,13022.878085
